Stasiun / UPT,Deskripsi,Wilayah,Negara,daerah administratif,Koordinat,Alamat
Stasiun Meteorologi Kelas III Frans Sales Lega - Manggarai,Stasiun Meteorologi Kelas III Balai Besar Wilayah III Denpasar yang terletak di Manggarai, Wilayah III Denpasar,Indonesia,Manggarai,@-8.598093438037164/120.4778653401531,"Bandara Satar Tacik, Ruteng, Jl. Satar Tacik, Ruteng, Manggarai, Nusa Tenggara Timur"
Stasiun Meteorologi Kelas III Gusti Syamsir Alam - Kotabaru,Stasiun Meteorologi Kelas III Balai Besar Wilayah III Denpasar yang terletak di Kotabaru, Wilayah III Denpasar,Indonesia,Kotabaru,@-3.3000526652798414/116.16745967636898,"Jl. Raya Stagen KM 10 Kotabaru, Kalimantan Selatan"
Stasiun Meteorologi Kelas III Sultan Muhammad Kaharuddin - Sumbawa,Stasiun Meteorologi Kelas III Balai Besar Wilayah III Denpasar yang terletak di Sumbawa, Wilayah III Denpasar,Indonesia,Sumbawa,@-8.487972127703395/117.41354842964195,"Jl. Garuda No 43 Sumbawa Besar, Nusa Tenggara Barat"
Stasiun Meteorologi Kelas III Tanjung Harapan - Bulungan,Stasiun Meteorologi Kelas III Balai Besar Wilayah III Denpasar yang terletak di Bulungan, Wilayah III Denpasar,Indonesia,Bulungan,@2.8384493912464066/117.3730782016481,"Jl. Ulin No. 3 Tanjung Selor, Bulungan, Kalimantan Timur"
Stasiun Meteorologi Kelas III Temindung - Samarinda,Stasiun Meteorologi Kelas III Balai Besar Wilayah III Denpasar yang terletak di Samarinda, Wilayah III Denpasar,Indonesia,Samarinda,@-0.48252306759981184/117.15650713460008,Jl. Pipit No 150 Bandara Temindung Samarinda
Stasiun Meteorologi Kelas III Tardamu - Sabu Raijua,Stasiun Meteorologi Kelas III Balai Besar Wilayah III Denpasar yang terletak di Sabu Raijua, Wilayah III Denpasar,Indonesia,Sabu Raijua,@-10.492298722542458/121.84578516549027,"Jl. Terdamu No. 12 Seba Sabu, Nusa Tenggara Timur"
Stasiun Meteorologi Kelas I Tjilik Riwut - Palangka Raya,Stasiun Meteorologi Kelas I Balai Besar Wilayah III Denpasar yang terletak di Palangka Raya, Wilayah III Denpasar,Indonesia,Palangka Raya,@-2.2507320725908744/113.94476887583278,"Jl. A Donis A5 Bandara Tjilik Riwut Palangkaraya, Kalimantan Tengah"
Stasiun Meteorologi Kelas III Fransiskus Xaverius Seda - Sikka,Stasiun Meteorologi Kelas III Balai Besar Wilayah III Denpasar yang terletak di Sikka, Wilayah III Denpasar,Indonesia,Sikka,@-8.635736051768115/122.23740491860164,"Jl. Angkasa, Wai Oti, Maumere Flores, NTT, PO.Box 100"
Stasiun Meteorologi Kelas III Yuvai Semaring - Nunukan,Stasiun Meteorologi Kelas III Balai Besar Wilayah III Denpasar yang terletak di Nunukan, Wilayah III Denpasar,Indonesia,Nunukan,@3.8996662304605514/115.69159095258749,Jl. Bandara Yuvai Semaring Long Bawan Kerayan Nunukan Kalimantan Utara
Stasiun Meteorologi Kelas IV Sanggu - Barito Selatan,Stasiun Meteorologi Kelas IV Balai Besar Wilayah III Denpasar yang terletak di Barito Selatan, Wilayah III Denpasar,Indonesia,Barito Selatan,@-1.6699039273531922/114.89783827916847,"Jl. Merdeka, Bandar Udara Sanggau, Buntok"
Stasiun Meteorologi Kelas IV H. Asan - Kotawaringin Timur,Stasiun Meteorologi Kelas IV Balai Besar Wilayah III Denpasar yang terletak di Kotawaringin Timur, Wilayah III Denpasar,Indonesia,Kotawaringin Timur,@-2.5015892485961824/112.9754479668678,"Jl. Samekto Baamang Hulu, Kota Waringin, Sampit, Kalimantan Tengah"
Stasiun Meteorologi Kelas IV Komodo - Manggarai Barat,Stasiun Meteorologi Kelas IV Balai Besar Wilayah III Denpasar yang terletak di Manggarai Barat, Wilayah III Denpasar,Indonesia,Manggarai Barat,@-8.486638350418293/119.88705281772884,Bandar Udara Komodo Labuhan Bajo
Stasiun Meteorologi Kelas IV Nunukan,Stasiun Meteorologi Kelas IV Balai Besar Wilayah III Denpasar yang terletak di Nunukan, Wilayah III Denpasar,Indonesia,Nunukan,@4.135221781161131/117.66565709850245,"Jl. Arief Rahman Hakim No.15 Bandar Udara Nunukan, Kab. Nunukan, Prop. Kalimantan Timur"
Stasiun Geofisika Kelas I Ambon,Stasiun Geofisika Kelas I Balai Besar Wilayah IV Makassar yang terletak di Ambon, Wilayah IV Makassar,Indonesia,Ambon,@-3.6872364379023423/128.19420687436605,"Jl. Ade Irma Suryani Nasution, No.8, Amantelu, Ambon, Maluku"
Stasiun Geofisika Kelas I Manado,Stasiun Geofisika Kelas I Balai Besar Wilayah IV Makassar yang terletak di Manado, Wilayah IV Makassar,Indonesia,Manado,@1.4432437046994182/124.83906414833945,"Jl. Harapan Winangun, KP.1042, Manado, Sulawesi Utara."
Stasiun Geofisika Kelas II Gowa,Stasiun Geofisika Kelas II Balai Besar Wilayah IV Makassar yang terletak di Gowa, Wilayah IV Makassar,Indonesia,Gowa,@-5.217912388726751/119.4697301160563,Jl.Malino penggantungan sungguminasa-Gowa P.O.Box 35 sungguminasa-Gowa 92101 Sulawesi Selatan
Stasiun Geofisika Kelas I Palu,Stasiun Geofisika Kelas I Balai Besar Wilayah IV Makassar yang terletak di Palu, Wilayah IV Makassar,Indonesia,Palu,@-0.9051413463840885/119.83663500714208,"Jl. Sumur Yugo, No. 4, Balarua, Palu Barat"
Stasiun Geofisika Kelas III Maluku Tenggara Barat,Stasiun Geofisika Kelas III Balai Besar Wilayah IV Makassar yang terletak di Maluku Tenggara Barat, Wilayah IV Makassar,Indonesia,Maluku Tenggara Barat,@-7.982364998885954/131.2979074563865,Jl. Harapan Saimlaki Maluku Tenggara
Stasiun Geofisika Kelas III Ternate,Stasiun Geofisika Kelas III Balai Besar Wilayah IV Makassar yang terletak di Ternate, Wilayah IV Makassar,Indonesia,Ternate,@0.7719915032283798/127.36665669844169,"Jl. Bali Bunga, Kel. Tabona, Ternate Selatan, Maluku Utara"
Stasiun Geofisika Kelas IV Kendari,Stasiun Geofisika Kelas IV Balai Besar Wilayah IV Makassar yang terletak di Kendari, Wilayah IV Makassar,Indonesia,Kendari,@-3.9579830970733503/122.61943021741995,"Jl. R. E. Martadinata, Purirano, Kec. Kendari, Kota Kendari, Sulawesi Tenggara"
Stasiun Klimatologi Kelas I Maros,Stasiun Klimatologi Kelas I Balai Besar Wilayah IV Makassar yang terletak di Maros, Wilayah IV Makassar,Indonesia,Maros,@-4.997662216638469/119.57229943892273,"Jl. DR. Ratulangi, No.75, Panakukang, KP. No. 05, Sulawesi Selatan"
Stasiun Klimatologi Kelas II Minahasa Utara,Stasiun Klimatologi Kelas II Balai Besar Wilayah IV Makassar yang terletak di Minahasa Utara, Wilayah IV Makassar,Indonesia,Minahasa Utara,@1.501345144953623/124.9180154849862,"Jl. Raya Paniki Atas, Paniki Atas, Kec. Talawaan, Kabupaten Minahasa Utara, Sulawesi Utara"
Stasiun Klimatologi Kelas III Seram Bagian Barat,Stasiun Klimatologi Kelas III Balai Besar Wilayah IV Makassar yang terletak di Seram Bagian Barat, Wilayah IV Makassar,Indonesia,Seram Bagian Barat,@-3.3387401762154014/128.36841473202594,"Jl. Hunitetu, Desa Kairatu, Kecamatan Kairatu, Kabupaten Seram Bagian Barat, Provinsi Maluku"
Stasiun Meteorologi Kelas I Sultan Hasanuddin - Maros,Stasiun Meteorologi Kelas I Balai Besar Wilayah IV Makassar yang terletak di Maros, Wilayah IV Makassar,Indonesia,Maros,@-5.070132702334897/119.5497111943161,"Kompleks Bandara Hasanuddin, Makassar, Sulawesi Selatan"
Stasiun Meteorologi Kelas II Maritim Bitung,Stasiun Meteorologi Kelas II Balai Besar Wilayah IV Makassar yang terletak di Bitung, Wilayah IV Makassar,Indonesia,Bitung,@1.4430341373678122/125.17989747999005,"Jl. Candi Kadoodan No.53, Bitung Barat Dua, Maesa, Bitung Bar. Dua, Kec. Maesa, Kota Bitung, Sulawesi Utara"
Stasiun Meteorologi Kelas II Maritim Paotere - Makassar,Stasiun Meteorologi Kelas II Balai Besar Wilayah IV Makassar yang terletak di Makassar, Wilayah IV Makassar,Indonesia,Makassar,@-5.110394160170998/119.41980167497259,Jl. Sabutung I No. 30 Paotere - Makassar
Stasiun Meteorologi Kelas II Mutiara Sis-Al Jufri - Palu,Stasiun Meteorologi Kelas II Balai Besar Wilayah IV Makassar yang terletak di Palu, Wilayah IV Makassar,Indonesia,Palu,@-0.9160902206093068/119.90519251766695,Komplek Bandara Mutiara Palu Jl. Abdurahman Saleh Biroboli - Sulawesi Tengah
Stasiun Meteorologi Kelas II Pattimura - Ambon,Stasiun Meteorologi Kelas II Balai Besar Wilayah IV Makassar yang terletak di Ambon, Wilayah IV Makassar,Indonesia,Ambon,@-3.711060735529596/128.08525753850284,"Komplek Bandara Patimura Jl. Dr. Leimena, Ambon, Tawiri, Teluk Ambon, Kota Ambon, Maluku
"
Stasiun Meteorologi Kelas II Sam Ratulangi - Manado,Stasiun Meteorologi Kelas II Balai Besar Wilayah IV Makassar yang terletak di Manado, Wilayah IV Makassar,Indonesia,Manado,@1.5370796180968298/124.9219014338937,"Jl. A.A Maramis, Bandara Sam Ratulangi Manado Sulawesi Utara"
Stasiun Meteorologi Kelas III Amahai - Maluku Tengah,Stasiun Meteorologi Kelas III Balai Besar Wilayah IV Makassar yang terletak di Maluku Tengah, Wilayah IV Makassar,Indonesia,Maluku Tengah,@-3.3464705755675963/128.92814484388975,"Jl. Bandara, Soahuku, Kec. Amahai, Kabupaten Maluku Tengah, Maluku"
Stasiun Meteorologi Kelas III Andi Jemma - Luwu Utara,Stasiun Meteorologi Kelas III Balai Besar Wilayah IV Makassar yang terletak di Luwu Utara, Wilayah IV Makassar,Indonesia,Luwu Utara,@-2.5547640641458615/120.32391559623755,"Jl. Dirgantara Masamba, Bandara Andi Jemma, Masamba, Luwu Utara, Sulawesi Selatan"
Stasiun Meteorologi Kelas I Sultan Babullah - Ternate,Stasiun Meteorologi Kelas I Balai Besar Wilayah IV Makassar yang terletak di Ternate, Wilayah IV Makassar,Indonesia,Ternate,@0.8290081747581677/127.38136368402637,"Bandara Babullah Ternate, Jl. Batu Agus KP. 28, Ternate, Maluku Utara"
Stasiun Meteorologi Kelas III Bandaneira - Maluku Tengah,Stasiun Meteorologi Kelas III Balai Besar Wilayah IV Makassar yang terletak di Maluku Tengah, Wilayah IV Makassar,Indonesia,Maluku Tengah,@-4.522481612190086/129.90453685079908,"Jl. Bandara - Bandaneira No.Desa, Kp. Baru, Kec. Banda, Kabupaten Maluku Tengah, Maluku"
Stasiun Meteorologi Kelas III Beto Ambari - Bau Bau,Stasiun Meteorologi Kelas III Balai Besar Wilayah IV Makassar yang terletak di Bau Bau, Wilayah IV Makassar,Indonesia,Bau Bau,@-5.487937526223319/122.57079858754808,"Kompleks Bandar Udara Betoambari, BMKG, Katobengke, Kec. Betoambari, Kota Bau-Bau, Sulawesi Tenggara"
Stasiun Meteorologi Kelas III Syukuran Aminudin Amir - Banggai,Stasiun Meteorologi Kelas III Balai Besar Wilayah IV Makassar yang terletak di Banggai, Wilayah IV Makassar,Indonesia,Banggai,@-1.0418339283104108/122.77184764109963,"Jl. Dr. Moh. Hatta 2, Bubung, Kabupaten Banggai, Sulawesi Tengah"
Stasiun Meteorologi Kelas III Karel Sadsuitubun - Maluku Tenggara,Stasiun Meteorologi Kelas III Balai Besar Wilayah IV Makassar yang terletak di Maluku Tenggara, Wilayah IV Makassar,Indonesia,Maluku Tenggara,@-5.7547382303704815/132.75820660022694,"Karel Sadsuitubun Langgur Airport, Jl. Bandara Langgur, Ibra, Kec. Kei Kecil, Kabupaten Maluku Tenggara, Maluku"
Stasiun Meteorologi Kelas III Gamar Malamo - Halmahera Utara,Stasiun Meteorologi Kelas III Balai Besar Wilayah IV Makassar yang terletak di Halmahera Utara, Wilayah IV Makassar,Indonesia,Halmahera Utara,@1.837851335578799/127.78787737047128,"Jalan Bandara, Dokulamo, Galela, North Halmahera Regency, North Maluku"
Stasiun Meteorologi Kelas III Geser - Seram Bagian Timur,Stasiun Meteorologi Kelas III Balai Besar Wilayah IV Makassar yang terletak di Seram Bagian Timur, Wilayah IV Makassar,Indonesia,Seram Bagian Timur,@-3.886746014814294/130.89559388704066,"Jl. Pendidikan Geser, Kelurahan Geser, Kecamatan Seram Timur, Propinsi Maluku"
Stasiun Meteorologi Kelas I Djalaluddin - Gorontalo,Stasiun Meteorologi Kelas I Balai Besar Wilayah IV Makassar yang terletak di Gorontalo, Wilayah IV Makassar,Indonesia,Gorontalo,@0.6390294006285846/122.85245536954797,"Komplek Bandara Jalaluddin, Gorontalo, Tolotio, Tibawa, Gorontalo Regency, Gorontalo"
Stasiun Meteorologi Kelas III Kasiguncu - Poso,Stasiun Meteorologi Kelas III Balai Besar Wilayah IV Makassar yang terletak di Poso, Wilayah IV Makassar,Indonesia,Poso,@-1.420215805918052/120.65716543539423,"Jl. Bandar Udara, No. 202, Kel. Kasiguncu, Kec. Poso Pesisir, Kab. Poso, Kab. Poso Sulawesi Tengak."
Stasiun Meteorologi Kelas III Sultan Bantilan - Tolitoli,Stasiun Meteorologi Kelas III Balai Besar Wilayah IV Makassar yang terletak di Tolitoli, Wilayah IV Makassar,Indonesia,Tolitoli,@1.1213001244233445/120.79428773498992,"Bandar Udara Lalos, Tolo-Toli, Sulawesi Tengah"
Stasiun Meteorologi Kelas II Majene,Stasiun Meteorologi Kelas II Balai Besar Wilayah IV Makassar yang terletak di Majene, Wilayah IV Makassar,Indonesia,Majene,@-3.5507554808759285/118.98053835735193,"Jl. Lettu Moh. Yamin No.13, Baurung, Kec. Banggae Tim., Kabupaten Majene, Sulawesi Barat"
Stasiun Meteorologi Kelas III Naha - Kepulauan Sangihe,Stasiun Meteorologi Kelas III Balai Besar Wilayah IV Makassar yang terletak di Kepulauan Sangihe, Wilayah IV Makassar,Indonesia,Kepulauan Sangihe,@3.6862135383276833/125.52916264548568,"Bandara Naha Tahuna Sangihe Talaud, Kel. Naha, Kec. Tambukan Udara, Sulawsi Utara"
Stasiun Meteorologi Kelas III Namlea - Buru,Stasiun Meteorologi Kelas III Balai Besar Wilayah IV Makassar yang terletak di Buru, Wilayah IV Makassar,Indonesia,Buru,@-3.227246535948683/127.09610688602912,"Jl. Raya Lala Namlea, Buru Utara Timur, Maluku Tengah"
Stasiun Meteorologi Kelas III Mathilda Batyaleri - Maluku Tenggara Barat,Stasiun Meteorologi Kelas III Balai Besar Wilayah IV Makassar yang terletak di Maluku Tenggara Barat, Wilayah IV Makassar,Indonesia,Maluku Tenggara Barat,@-7.982207661457526/131.2979900242978,"Komplek Meteorologi Jl. Harapan - Saumlaki, Maluku Tenggara Barat"
Stasiun Meteorologi Kelas III Sangia Ni Bandera - Kolaka,Stasiun Meteorologi Kelas III Balai Besar Wilayah IV Makassar yang terletak di Kolaka, Wilayah IV Makassar,Indonesia,Kolaka,@-4.180474561168632/121.61061812985032,"Jl. Protokol No. 1 Pomalaa Kolaka, Sulawesi Tenggara"
Stasiun Meteorologi Kelas III Emalamo - Kepulauan Sula,Stasiun Meteorologi Kelas III Balai Besar Wilayah IV Makassar yang terletak di Kepulauan Sula, Wilayah IV Makassar,Indonesia,Kepulauan Sula,@-2.0705283239773937/125.97902247077118,"Jl. Meteor Fogi, Sanana, Maluku Utara, Kode Pos"
Stasiun Meteorologi Kelas II Maritim Kendari,Stasiun Meteorologi Kelas II Balai Besar Wilayah IV Makassar yang terletak di Kendari, Wilayah IV Makassar,Indonesia,Kendari,@-3.9701113301472892/122.5896569255651,"Jl. Jendral Sudirman No.158, Kp. Salo, Kec. Kendari, Kota Kendari, Sulawesi Tenggara"
Stasiun Meteorologi Kelas IV Pongtiku - Tana Toraja,Stasiun Meteorologi Kelas IV Balai Besar Wilayah IV Makassar yang terletak di Tana Toraja, Wilayah IV Makassar,Indonesia,Tana Toraja,@-3.0453200303003376/119.81886851009239,"Bandara Pongtiku, Tanah Toraja"
Stasiun Geofisika Kelas I Jayapura,Stasiun Geofisika Kelas I Balai Besar Wilayah V Jayapura yang terletak di Jayapura, Wilayah V Jayapura,Indonesia,Jayapura,@-2.5140387093989274/140.70609183323228,"Jl. Drs. Krisna Suryana, No. 26, Angkasa Pura, Jayapura, Papua"
Stasiun Geofisika Kelas III Sorong,Stasiun Geofisika Kelas III Balai Besar Wilayah V Jayapura yang terletak di Sorong, Wilayah V Jayapura,Indonesia,Sorong,@-0.8623037038115815/131.25910061717414,"Jl. Danau Siwiki, No.1, Kampung Baru, KP 167, Sorong Papua"
Stasiun Klimatologi Kelas III Jayapura,Stasiun Klimatologi Kelas III Balai Besar Wilayah V Jayapura yang terletak di Jayapura, Wilayah V Jayapura,Indonesia,Jayapura,@-2.592807015646023/140.16773251922208,"Jl. Yaring Tabri No.69, Genyem, Papua"
Stasiun Klimatologi Kelas III Manokwari Selatan,Stasiun Klimatologi Kelas III Balai Besar Wilayah V Jayapura yang terletak di Manokwari Selatan, Wilayah V Jayapura,Indonesia,Manokwari Selatan,@-1.5105512613026792/134.1772890407102,"Jl. Sujarno Condronegro, SH. Ransiki, Kabupaten Papua Barat"
Stasiun Meteorologi Kelas I Frans Kaisiepo - Biak Numfor,Stasiun Meteorologi Kelas I Balai Besar Wilayah V Jayapura yang terletak di Biak Numfor, Wilayah V Jayapura,Indonesia,Biak Numfor,@-1.1905808716402142/136.10336985840806,"Jl. Moh. Yamin S.H, Biak"
Stasiun Meteorologi Kelas I Domine Eduard Osok - Sorong,Stasiun Meteorologi Kelas I Balai Besar Wilayah V Jayapura yang terletak di Sorong, Wilayah V Jayapura,Indonesia,Sorong,@-0.8905494306187622/131.2858182323073,"Bandara Jefman, KP. 217, Sorong Papua"
Stasiun Meteorologi Kelas III Maritim Dok II Jayapura,Stasiun Meteorologi Kelas III Balai Besar Wilayah V Jayapura yang terletak di Jayapura, Wilayah V Jayapura,Indonesia,Jayapura,@-2.530481083900833/140.71449842043194,"Jl. Bhayangkara II, Jayapura Utara, Kotak Pos No. 1968, Papua"
Stasiun Meteorologi Kelas III Enarotali- Paniai,Stasiun Meteorologi Kelas III Balai Besar Wilayah V Jayapura yang terletak di Paniai, Wilayah V Jayapura,Indonesia,Paniai,@-3.926844979378915/136.38108589447287,"Bandara Enarotoli Paniai Papua, Jl. Titina Yogi, Enarotoli, Paniai Papua"
Stasiun Meteorologi Kelas III Mararena - Sarmi,Stasiun Meteorologi Kelas III Balai Besar Wilayah V Jayapura yang terletak di Sarmi, Wilayah V Jayapura,Indonesia,Sarmi,@-1.8723668273747014/138.75182575021347,"Bandara Mararena Sarmi, Jayapura, Papua"
Stasiun Meteorologi Kelas III Mopah - Merauke,Stasiun Meteorologi Kelas III Balai Besar Wilayah V Jayapura yang terletak di Merauke, Wilayah V Jayapura,Indonesia,Merauke,@-8.51840773928756/140.41413362664557,"Jl. PGT Mopah, Bandara Mopah Rimbajaya, Kelurahan Rimba Jaya, Kab. Merauke Prop. Papua"
Stasiun Meteorologi Kelas III Rendani - Manokwari,Stasiun Meteorologi Kelas III Balai Besar Wilayah V Jayapura yang terletak di Manokwari, Wilayah V Jayapura,Indonesia,Manokwari,@-0.890348776802503/134.05127888938347,"Bandara Rendani Manokwari, Jl. Trikora Rendani, Manokwari, Papua"
Stasiun Meteorologi Kelas III Tanah Merah - Boven Digul,Stasiun Meteorologi Kelas III Balai Besar Wilayah V Jayapura yang terletak di Boven Digul, Wilayah V Jayapura,Indonesia,Boven Digul,@-6.099331919982289/140.30124653482108,"Bandara Tanah Merah, Merauke, Papua"
Stasiun Meteorologi Kelas III Mozez Kilangin - Mimika,Stasiun Meteorologi Kelas III Balai Besar Wilayah V Jayapura yang terletak di Mimika, Wilayah V Jayapura,Indonesia,Mimika,@-4.529788557083096/136.8932298142548,"Jl. Raya Freeport, Bandara Timika."
Stasiun Meteorologi Kelas III Torea - Fakfak,Stasiun Meteorologi Kelas III Balai Besar Wilayah V Jayapura yang terletak di Fakfak, Wilayah V Jayapura,Indonesia,Fakfak,@-2.9182090501415985/132.26414350349535,"Bandara Torea, KP. 8. Fak-Fak, Papua"
Stasiun Meteorologi Kelas III Utarom - Kaimana,Stasiun Meteorologi Kelas III Balai Besar Wilayah V Jayapura yang terletak di Kaimana, Wilayah V Jayapura,Indonesia,Kaimana,@-3.644189784918672/133.69631747003126,"Bandara Utarom Kaimana, Fak-Fak, Papua"
Stasiun Meteorologi Kelas III Wamena - Jayawijaya,Stasiun Meteorologi Kelas III Balai Besar Wilayah V Jayapura yang terletak di Jayawijaya, Wilayah V Jayapura,Indonesia,Jayawijaya,@-4.0888483075697515/138.94647408889332,"Jl. Gatot Subroto, No.24, Wamena, Papua, 99501, PO.BOX 193"
Stasiun Meteorologi Kelas II Maritim Tanjung Emas - Semarang,Stasiun Meteorologi Kelas II Balai Besar Wilayah II Ciputat yang terletak di Semarang, Wilayah II Ciputat,Indonesia,Semarang,@-6.950805220299659/110.41828727054313,"Jl. Yos Sudarso No.58, Bandarharjo, Kec. Semarang Utara, Kota Semarang, Jawa Tengah"
Stasiun Meteorologi Kelas I Sentani - Jayapura,Stasiun Meteorologi Kelas I Balai Besar Wilayah V Jayapura yang terletak di Jayapura, Wilayah V Jayapura,Indonesia,Jayapura,@-2.575762115573052/140.51851241230938,"Jl. Yabaso, Komplek Bandar Udara Sentani, Jayapura, Papua"
Stasiun Meteorologi Kelas III Moanamani - Nabire,Stasiun Meteorologi Kelas III Balai Besar Wilayah V Jayapura yang terletak di Nabire, Wilayah V Jayapura,Indonesia,Nabire,@-3.3659284112173746/135.4980685466973,Jl. Sisingamangaraja Bandara Nabire
Stasiun Geofisika Kelas III Nabire,Stasiun Geofisika Kelas III Balai Besar Wilayah V Jayapura yang terletak di Nabire, Wilayah V Jayapura,Indonesia,Nabire,@-3.376451919299516/135.47312228988793,"Jl. Matoa, Kalibobo, Distrik Nabire, Kabupaten Nabire, Papua"
Stasiun Klimatologi Kelas IV Kampar,Stasiun Klimatologi Kelas IV Balai Besar Wilayah I Medan yang terletak di Kampar, Wilayah I Medan,Indonesia,Kampar,@0.40727790883475623/101.21739084415496,"Kabupaten Kampar, Riau"
Stasiun Klimatologi Kelas IV Bangka Tengah,Stasiun Klimatologi Kelas IV Balai Besar Wilayah II Ciputat yang terletak di Bangka Tengah, Wilayah II Ciputat,Indonesia,Bangka Tengah,@-2.5180837286986755/106.42262330617783,Jl. Kartika No. 1 Koba
Stasiun Klimatologi Kelas IV Sleman,Stasiun Klimatologi Kelas IV Balai Besar Wilayah II Ciputat yang terletak di Sleman, Wilayah II Ciputat,Indonesia,Sleman,@-7.731536165499776/110.35436440820583,"Jl. Kabupaten No.Km. 5.5, Duwet, Sendangadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta"
Stasiun Klimatologi Kelas IV Merauke,Stasiun Klimatologi Kelas IV Balai Besar Wilayah V Jayapura yang terletak di Merauke, Wilayah V Jayapura,Indonesia,Merauke,@-8.386901891465024/140.51656060972624,"Jl. Poros SP2, Yasa Mulya, Tanah Miring, Kabupaten Merauke, Papua"
Stasiun Meteorologi Kelas III Tuban,Stasiun Meteorologi Kelas III Balai Besar Wilayah III Denpasar yang terletak di Tuban, Wilayah III Denpasar,Indonesia,Tuban,@-6.822174146484051/111.9919246764945,"Jl. Raya Beji, Kalirejo, Kaliuntu, Kec. Jenu, Kabupaten Tuban, Jawa Timur"
Stasiun Geofisika Kelas II Gorontalo,Stasiun Geofisika Kelas II Balai Besar Wilayah IV Makassar yang terletak di Gorontalo, Wilayah IV Makassar,Indonesia,Gorontalo,@0.6360530210746628/123.01070116153703,"Jl. Adam Hoesa, Talumelito, Kec. Telaga Biru, Kabupaten Gorontalo, Gorontalo"
Stasiun Geofisika Kelas III Aceh Selatan,Stasiun Geofisika Kelas III Balai Besar Wilayah I Medan yang terletak di Aceh Selatan, Wilayah I Medan,Indonesia,Aceh Selatan,@3.173622349838945/97.28644674724565,"Jl. Bandara T. Cut Ali, Teupin Gajah, Kec. Pasie Raja, Kabupaten Aceh Selatan, Aceh"
Stasiun Geofisika Kelas III Mataram,Stasiun Geofisika Kelas III Balai Besar Wilayah III Denpasar yang terletak di Mataram, Wilayah III Denpasar,Indonesia,Mataram,@-8.564238005381643/116.09979030015865,"Jl. Adi Sucipto No.10, Rembiga, Kec. Selaparang, Kota Mataram, Nusa Tenggara Barat"
Stasiun Geofisika Kelas III Alor,Stasiun Geofisika Kelas III Balai Besar Wilayah III Denpasar yang terletak di Alor, Wilayah III Denpasar,Indonesia,Alor,@-8.144637241710623/124.5903381493531,"Kabola, Alor Regency, Nusa Tenggara Timur"
Stasiun Meteorologi Kelas II Silangit - Tapanuli Utara,Stasiun Meteorologi Kelas II Balai Besar Wilayah I Medan yang terletak di Tapanuli Utara, Wilayah I Medan,Indonesia,Tapanuli Utara,@2.26163117002992/98.99370969694537,"Silando, Muara, North Tapanuli Regency, North Sumatra"
Stasiun Meteorologi Kelas IV Maritim Ambon,Stasiun Meteorologi Kelas IV Balai Besar Wilayah IV Makassar yang terletak di Ambon, Wilayah IV Makassar,Indonesia,Ambon,@-3.7904028369449803/128.10074602449802,"Jl. Amanlanite, Waimahu, Latuhalat, Nusaniwe, Kota Ambon, Maluku"
